,Regulatory Gene,Target Gene,weight
1,HIVEP2,ARNT,0.0425312430532605
2,ZNF805,ZNF467,0.0402055797672705
3,LYL1,ZNF639,0.0399697262797856
4,RXRA,ZNF503,0.0374529231274051
5,ZNF787,IRF1,0.0374063816845634
6,HIVEP2,IKZF3,0.0363768417930356
7,ZNF318,BAZ2A,0.0355587064067414
8,SP110,FOXP1,0.0349062091541485
9,ZEB1,FOXJ3,0.0343576392018815
10,ZNF385A,ZNF2,0.0340300795692143
11,KLF13,ZNF503,0.0335184484980342
12,AHR,MYCL,0.0333209532273309
13,ETS1,ZNF675,0.0330532048065464
14,RELB,E2F4,0.0330016018727208
15,ZFP91,POU2AF1,0.0326831948990082
16,ZNF292,ZNF444,0.0319799114199318
17,SP110,JUND,0.03173204023032
18,ZNF623,CREBL2,0.0315166029923519
19,NFAT5,IKZF1,0.0313176223881992
20,ZNF804A,ZFY,0.0311619357158824
21,ZFP91,IRF7,0.0310464642226852
22,ZBTB7A,NFE2L2,0.0309484308388924
23,ZKSCAN5,ZNF564,0.0306985583115392
24,NFYA,HMGA1,0.0306937747002826
25,ZNF225,ATF2,0.0305896153571813
26,MYSM1,ZNF714,0.0301038129628883
27,ZNF280D,NR1D2,0.0298251906440923
28,ZEB1,ZNF644,0.0297894253060457
29,ETS2,MYCL,0.0297353520351649
30,HIVEP3,E2F1,0.0295043934337578
31,ZBTB7A,IRF3,0.0292514001941247
32,MBD4,MAFF,0.029110813798192
33,LYL1,ZBTB10,0.0290474768885791
34,ZFAT,ZNF215,0.0290221919642938
35,ZNF644,SNAPC2,0.0289435658145497
36,ZBTB21,ZNF268,0.0287858743780847
37,ZNF225,HSF1,0.0287103168008211
38,AEBP1,ZBTB18,0.0287048132512283
39,DPF1,GABPA,0.0286565585325616
40,SP1,KDM2A,0.0286242956700733
41,NFATC1,ZNF184,0.0284712102426292
42,ETS1,ZIK1,0.0284105750819194
43,ZNF318,PRR12,0.0283460420768856
44,ZNF404,ZBTB4,0.0282090687894213
45,ZNF771,HDX,0.027949785874355
46,NCOA2,HMGN3,0.0279342909818391
47,ZBTB7A,EGR1,0.0279341638584297
48,ZNF43,HMBOX1,0.0278697348151609
49,MLXIP,MBD6,0.027594817886501
50,ZNF664,SNAPC4,0.0275768678152027
51,MBD4,FOSB,0.0274000939189097
52,ZBTB4,YBX1,0.0273955836047283
53,HIVEP2,ZNF107,0.0273283410792964
54,MYBL2,IKZF3,0.0272920998990686
55,ZNF280D,BAZ2A,0.0272429998809689
56,CSRNP1,MYCL,0.0269465674504422
57,TGIF1,FLI1,0.0269459452059243
58,ZNF37A,ZNF75A,0.026847767678646
59,CSRNP1,GLMP,0.0267397955960246
60,ZNF416,ZNF441,0.0267268329005889
61,MEF2D,TCF7L2,0.0266011234601496
62,NFAT5,KDM2B,0.0264769491331776
